timestamp, pstate, power.management, power.draw [W], power.limit [W], power.default_limit [W], power.min_limit [W], power.max_limit [W], temperature.gpu, temperature.memory, memory.used [MiB], memory.total [MiB], memory.free [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/25 01:41:07.717, P0, Enabled, 62.51, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 1410, 1215
2026/03/25 01:41:08.726, P0, Enabled, 65.53, 250.00, 250.00, 150.00, 250.00, 38, 37, 1, 40960, 40445, 1410, 1215
2026/03/25 01:41:09.726, P0, Enabled, 40.83, 250.00, 250.00, 150.00, 250.00, 38, 37, 1, 40960, 40445, 270, 1215
2026/03/25 01:41:10.727, P0, Enabled, 40.40, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:11.728, P0, Enabled, 40.40, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:12.729, P0, Enabled, 40.62, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:13.731, P0, Enabled, 40.57, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:14.733, P0, Enabled, 40.38, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:15.734, P0, Enabled, 40.51, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:16.735, P0, Enabled, 40.38, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:17.735, P0, Enabled, 40.47, 250.00, 250.00, 150.00, 250.00, 37, 37, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:18.736, P0, Enabled, 40.52, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:19.737, P0, Enabled, 40.27, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:20.738, P0, Enabled, 40.30, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:21.738, P0, Enabled, 40.43, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:22.739, P0, Enabled, 40.47, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:23.740, P0, Enabled, 40.37, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
2026/03/25 01:41:24.740, P0, Enabled, 40.28, 250.00, 250.00, 150.00, 250.00, 37, 36, 1, 40960, 40445, 210, 1215
