timestamp, pstate, power.management, power.draw [W], power.limit [W], power.default_limit [W], power.min_limit [W], power.max_limit [W], temperature.gpu, temperature.memory, memory.used [MiB], memory.total [MiB], memory.free [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/29 04:34:00.379, P0, Enabled, 58.41, 250.00, 250.00, 150.00, 250.00, 47, 48, 1, 40960, 40445, 1410, 1215
2026/03/29 04:34:01.385, P0, Enabled, 76.12, 250.00, 250.00, 150.00, 250.00, 48, 48, 1, 40960, 40445, 1410, 1215
2026/03/29 04:34:02.385, P0, Enabled, 47.14, 250.00, 250.00, 150.00, 250.00, 47, 47, 1, 40960, 40445, 270, 1215
2026/03/29 04:34:03.386, P0, Enabled, 45.96, 250.00, 250.00, 150.00, 250.00, 47, 47, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:04.388, P0, Enabled, 45.83, 250.00, 250.00, 150.00, 250.00, 46, 47, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:05.390, P0, Enabled, 45.40, 250.00, 250.00, 150.00, 250.00, 46, 47, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:06.391, P0, Enabled, 45.01, 250.00, 250.00, 150.00, 250.00, 46, 46, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:07.392, P0, Enabled, 45.21, 250.00, 250.00, 150.00, 250.00, 46, 46, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:08.392, P0, Enabled, 45.23, 250.00, 250.00, 150.00, 250.00, 45, 46, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:09.393, P0, Enabled, 44.68, 250.00, 250.00, 150.00, 250.00, 45, 46, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:10.394, P0, Enabled, 45.12, 250.00, 250.00, 150.00, 250.00, 45, 46, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:11.394, P0, Enabled, 45.02, 250.00, 250.00, 150.00, 250.00, 45, 45, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:12.395, P0, Enabled, 45.19, 250.00, 250.00, 150.00, 250.00, 44, 45, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:13.396, P0, Enabled, 44.98, 250.00, 250.00, 150.00, 250.00, 44, 45, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:14.396, P0, Enabled, 45.02, 250.00, 250.00, 150.00, 250.00, 44, 45, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:15.397, P0, Enabled, 44.81, 250.00, 250.00, 150.00, 250.00, 44, 44, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:16.398, P0, Enabled, 44.73, 250.00, 250.00, 150.00, 250.00, 44, 44, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:17.399, P0, Enabled, 44.73, 250.00, 250.00, 150.00, 250.00, 43, 44, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:18.399, P0, Enabled, 44.63, 250.00, 250.00, 150.00, 250.00, 43, 44, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:19.400, P0, Enabled, 44.50, 250.00, 250.00, 150.00, 250.00, 43, 44, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:20.401, P0, Enabled, 44.41, 250.00, 250.00, 150.00, 250.00, 43, 44, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:21.402, P0, Enabled, 44.42, 250.00, 250.00, 150.00, 250.00, 43, 43, 1, 40960, 40445, 210, 1215
2026/03/29 04:34:22.402, P0, Enabled, 44.24, 250.00, 250.00, 150.00, 250.00, 43, 43, 1, 40960, 40445, 210, 1215
