,NUEVA CLASE,ORIGINAL (BCCC17),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY, σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED, σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
1,StandardScaler + RUS/SMOTE,500,0.943383,0.002747,0.971916,0.001588,0.943383,0.002747,0.953629,0.002526,0.558640,0.010347,0.933639,0.023422,0.634676,0.008784,0.923364,0.003579,0.985421,0.000998,0.005420,0.000000,0.589304,0.002921
,,1000,0.959438,0.002756,0.977551,0.001104,0.959438,0.002756,0.965934,0.002079,0.599742,0.008951,0.932144,0.030479,0.670121,0.007757,0.944352,0.003627,0.988993,0.000820,0.009483,0.000004,0.815354,0.001371
,,2000,0.969536,0.001867,0.981710,0.000727,0.969536,0.001867,0.973912,0.001426,0.636756,0.006020,0.934042,0.029963,0.701283,0.005150,0.957836,0.002511,0.992262,0.000596,0.015846,0.000000,1.425409,0.019852
,,5000,0.978924,0.000689,0.986454,0.000319,0.978924,0.000689,0.981655,0.000531,0.676989,0.002621,0.933297,0.028972,0.734407,0.002696,0.970592,0.000955,0.994409,0.000394,0.053285,0.000036,3.184607,0.038562
,,10000,0.983686,0.000460,0.989027,0.000230,0.983686,0.000460,0.985644,0.000344,0.712215,0.007232,0.933395,0.029436,0.767771,0.009773,0.977138,0.000636,0.995547,0.000313,0.102336,0.000229,6.372250,0.223804
,,20000,0.986813,0.000432,0.990748,0.000225,0.986813,0.000432,0.988256,0.000343,0.736397,0.006494,0.934423,0.028379,0.789295,0.006766,0.981466,0.000599,0.996423,0.000194,0.221564,0.000393,11.968905,0.370002
,,30000,0.988284,0.000376,0.991621,0.000187,0.988284,0.000376,0.989509,0.000289,0.753443,0.007060,0.934114,0.029869,0.803419,0.003739,0.983510,0.000522,0.996802,0.000141,0.330657,0.001324,17.148308,0.495646
,,40000,0.989229,0.000340,0.992148,0.000174,0.989229,0.000340,0.990295,0.000264,0.768393,0.006139,0.935059,0.027753,0.817723,0.004874,0.984825,0.000475,0.996946,0.000172,0.412912,0.000520,23.048546,0.792713
2,StandardScaler + RUS/SMOTE/ENN,500,0.928832,0.006362,0.965499,0.001938,0.928832,0.006362,0.942953,0.003876,0.554723,0.005549,0.906413,0.034507,0.624809,0.003407,0.903308,0.008289,0.978959,0.002073,0.004842,0.000000,0.337390,0.000238
,,1000,0.953826,0.002120,0.975001,0.001301,0.953826,0.002120,0.961779,0.001670,0.599435,0.007545,0.918643,0.045162,0.666355,0.005642,0.936447,0.002876,0.985827,0.000989,0.007732,0.000000,0.525099,0.000412
,,2000,0.966681,0.001566,0.980041,0.000796,0.966681,0.001566,0.971595,0.001151,0.634593,0.002825,0.922745,0.046107,0.697096,0.002524,0.953776,0.002137,0.990265,0.000686,0.013598,0.000000,0.903292,0.000157
,,5000,0.976547,0.000413,0.984854,0.000298,0.976547,0.000413,0.979564,0.000260,0.671456,0.002298,0.922238,0.044525,0.727051,0.002681,0.967232,0.000558,0.992714,0.000316,0.038862,0.000005,2.051319,0.000223
,,10000,0.981835,0.000426,0.987568,0.000142,0.981835,0.000426,0.983924,0.000290,0.703435,0.010422,0.921742,0.044736,0.757546,0.014518,0.974521,0.000595,0.994303,0.000175,0.085404,0.000009,4.039561,0.001351
,,20000,0.985938,0.000486,0.989925,0.000221,0.985938,0.000486,0.987389,0.000379,0.730206,0.010890,0.922027,0.045491,0.780004,0.014858,0.980219,0.000677,0.995680,0.000288,0.173599,0.000005,8.030349,0.004109
,,30000,0.987553,0.000472,0.990870,0.000241,0.987553,0.000472,0.988748,0.000382,0.744052,0.011344,0.918184,0.041432,0.791871,0.015203,0.982467,0.000659,0.996135,0.000210,0.257163,0.000021,12.265357,0.322473
,,40000,0.988712,0.000340,0.991601,0.000223,0.988712,0.000340,0.989747,0.000284,0.758622,0.009988,0.917760,0.041614,0.804999,0.014807,0.984086,0.000475,0.996384,0.000156,0.411577,0.002216,21.761463,0.498609
3,StandardScaler + NearMiss/SMOTE,500,0.282750,0.099473,0.822441,0.028554,0.282750,0.099473,0.286326,0.093202,0.397838,0.045974,0.474121,0.046061,0.276868,0.044880,0.243769,0.111376,0.618636,0.045740,0.004867,0.000000,0.380826,0.000254
