DESCRIPCIÓN EXPERIMENTO,N,métrica,tipo_tiempo,tiempo,valor_métrica,delta_métrica,delta_tiempo,VD,VD_normalizado
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,fit_time,0.00542,0.008784,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,fit_time,0.009483,0.007757,-0.0010270000000000001,0.004063,-0.2527688899827714,0.2832962365398766
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,fit_time,0.015846,0.00515,-0.002607,0.006362999999999999,-0.4097123998114098,0.0
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,fit_time,0.053285,0.002696,-0.002454,0.037439,-0.065546622505943,0.6212481775316362
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,fit_time,0.102336,0.009773,0.007077,0.049051,0.14427840411000795,1.0
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,fit_time,0.221564,0.006766,-0.003007,0.11922800000000001,-0.025220585768443653,0.6940400658663376
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,fit_time,0.330657,0.003739,-0.003027,0.10909299999999997,-0.027746968183109833,0.6894797331012751
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,fit_time,0.412912,0.004874,0.0011349999999999997,0.08225500000000002,0.013798553279435893,0.7644728939416108
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,score_time,0.589304,0.008784,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,score_time,0.815354,0.007757,-0.0010270000000000001,0.22604999999999997,-0.004543242645432427,0.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,score_time,1.425409,0.00515,-0.002607,0.6100549999999999,-0.004273385186581539,0.03989980234108401
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,score_time,3.184607,0.002696,-0.002454,1.7591980000000003,-0.0013949538369188686,0.4654905656758139
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,score_time,6.37225,0.009773,0.007077,3.187643,0.002220135692735981,1.0
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,score_time,11.968905,0.006766,-0.003007,5.596654999999999,-0.0005372852176880656,0.5923012476083388
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,score_time,17.148308,0.003739,-0.003027,5.179403000000001,-0.0005844302905180384,0.5853306080148216
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,score_time,23.048546,0.004874,0.0011349999999999997,5.900238000000002,0.00019236512154255462,0.7001837735810345
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,total_time,0.594724,0.008784,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,total_time,0.824837,0.007757,-0.0010270000000000001,0.230113,-0.0044630246878707425,0.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,total_time,1.441255,0.00515,-0.002607,0.6164179999999999,-0.004229272993325958,0.03515319468442984
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,total_time,3.237892,0.002696,-0.002454,1.796637,-0.0013658852622983942,0.4657692232092407
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,total_time,6.474586,0.009773,0.007077,3.2366940000000004,0.002186490289165426,1.0
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,total_time,12.190469,0.006766,-0.003007,5.715883,-0.0005260779480615682,0.5920652488798447
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,total_time,17.478965,0.003739,-0.003027,5.2884959999999985,-0.0005723744520181165,0.585102860778392
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,total_time,23.461458,0.004874,0.0011349999999999997,5.982493000000002,0.00018972023870316262,0.6997119252519878
StandardScaler + RUS/SMOTE,500,μ F1 MACRO,fit_time,0.00542,0.634676,,,,
StandardScaler + RUS/SMOTE,1000,μ F1 MACRO,fit_time,0.009483,0.670121,0.03544499999999995,0.004063,8.723849372384926,1.0
StandardScaler + RUS/SMOTE,2000,μ F1 MACRO,fit_time,0.015846,0.701283,0.031162000000000023,0.006362999999999999,4.897375451830902,0.5547703155821724
StandardScaler + RUS/SMOTE,5000,μ F1 MACRO,fit_time,0.053285,0.734407,0.03312400000000004,0.037439,0.8847458532546286,0.08788047209904208
StandardScaler + RUS/SMOTE,10000,μ F1 MACRO,fit_time,0.102336,0.767771,0.03336399999999995,0.049051,0.6801900063199517,0.06407935988256021
StandardScaler + RUS/SMOTE,20000,μ F1 MACRO,fit_time,0.221564,0.789295,0.021523999999999988,0.11922800000000001,0.18052806387761253,0.005941153908065693
StandardScaler + RUS/SMOTE,30000,μ F1 MACRO,fit_time,0.330657,0.803419,0.014124000000000025,0.10909299999999997,0.12946751853922828,0.0
StandardScaler + RUS/SMOTE,40000,μ F1 MACRO,fit_time,0.412912,0.817723,0.014303999999999983,0.08225500000000002,0.1738982432678862,0.005169740591497765
StandardScaler + RUS/SMOTE,500,μ F1 MACRO,score_time,0.589304,0.634676,,,,
StandardScaler + RUS/SMOTE,1000,μ F1 MACRO,score_time,0.815354,0.670121,0.03544499999999995,0.22604999999999997,0.1568015925680157,1.0
StandardScaler + RUS/SMOTE,2000,μ F1 MACRO,score_time,1.425409,0.701283,0.031162000000000023,0.6100549999999999,0.05108064027013962,0.31517805052341885
StandardScaler + RUS/SMOTE,5000,μ F1 MACRO,score_time,3.184607,0.734407,0.03312400000000004,1.7591980000000003,0.01882903459417305,0.10626385714257552
StandardScaler + RUS/SMOTE,10000,μ F1 MACRO,score_time,6.37225,0.767771,0.03336399999999995,3.187643,0.010466667691457278,0.05209548010771123
StandardScaler + RUS/SMOTE,20000,μ F1 MACRO,score_time,11.968905,0.789295,0.021523999999999988,5.596654999999999,0.003845868648326543,0.00920834743192505
StandardScaler + RUS/SMOTE,30000,μ F1 MACRO,score_time,17.148308,0.803419,0.014124000000000025,5.179403000000001,0.0027269552108611793,0.0019604323792721695
StandardScaler + RUS/SMOTE,40000,μ F1 MACRO,score_time,23.048546,0.817723,0.014303999999999983,5.900238000000002,0.0024243089855019375,0.0
StandardScaler + RUS/SMOTE,500,μ F1 MACRO,total_time,0.594724,0.634676,,,,
