,NUEVA CLASE,ORIGINAL (CIC17),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY," σ ACCURACY",μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED," σ F1 WEIGHTED",μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
1,StandardScaler + RUS/SMOTE,500,0.861410,0.004782,0.959145,0.002990,0.861410,0.004782,0.899391,0.004105,0.328249,0.011788,0.895352,0.014327,0.398959,0.013799,0.702480,0.007151,0.963762,0.001881,0.001148,0.000000,0.659137,0.001456
,,1000,0.897524,0.005940,0.966979,0.002677,0.897524,0.005940,0.925263,0.004875,0.370100,0.013254,0.898396,0.020028,0.447719,0.014943,0.758539,0.010091,0.971898,0.002180,0.001397,0.000000,1.131076,0.000732
,,2000,0.922578,0.002512,0.973429,0.001620,0.922578,0.002512,0.943214,0.002272,0.405826,0.010927,0.899925,0.021816,0.485126,0.012462,0.804040,0.004800,0.978341,0.000724,0.002170,0.000000,2.068259,0.004123
,,5000,0.945347,0.001077,0.978521,0.000299,0.945347,0.001077,0.958795,0.000692,0.449763,0.011148,0.899247,0.023297,0.529214,0.011912,0.851507,0.002446,0.984687,0.000387,0.005225,0.000000,4.809002,0.010540
,,10000,0.957934,0.001007,0.980974,0.000332,0.957934,0.001007,0.967175,0.000741,0.496550,0.011483,0.905527,0.021537,0.573154,0.010542,0.880792,0.002439,0.988018,0.000296,0.009329,0.000000,9.666315,0.004422
,,20000,0.967480,0.000234,0.983361,0.000187,0.967480,0.000234,0.973739,0.000195,0.540332,0.009532,0.897509,0.019718,0.611735,0.011207,0.904704,0.000609,0.990294,0.000195,0.018766,0.000001,19.200801,0.070126
,,30000,0.971833,0.000436,0.984630,0.000181,0.971833,0.000436,0.976827,0.000279,0.578612,0.018438,0.897173,0.023237,0.644063,0.015773,0.916137,0.001171,0.991378,0.000249,0.027474,0.000003,28.967753,0.069539
,,40000,0.974356,0.000296,0.985460,0.000161,0.974356,0.000296,0.978651,0.000192,0.600875,0.014108,0.898488,0.022418,0.664201,0.010208,0.922934,0.000814,0.992024,0.000224,0.038006,0.000001,38.324938,0.228387
2,StandardScaler + RUS/SMOTE/ENN,500,0.862147,0.002948,0.956869,0.003589,0.862147,0.002948,0.899185,0.003621,0.330329,0.013768,0.893366,0.015861,0.401977,0.018549,0.700372,0.004115,0.962755,0.002406,0.001825,0.000000,1.066101,0.003328
,,1000,0.900505,0.005978,0.966240,0.003387,0.900505,0.005978,0.926933,0.005293,0.372991,0.014466,0.904751,0.009356,0.451038,0.016522,0.761575,0.010363,0.971331,0.001747,0.002337,0.000000,1.770063,0.075251
,,2000,0.926283,0.001502,0.973653,0.000953,0.926283,0.001502,0.945670,0.001350,0.413297,0.013557,0.905695,0.015504,0.492455,0.014933,0.809819,0.002968,0.977524,0.000817,0.002846,0.000000,3.306037,0.026503
,,5000,0.947390,0.001082,0.978719,0.000510,0.947390,0.001082,0.960244,0.000862,0.456327,0.011259,0.895306,0.022747,0.534411,0.011485,0.854765,0.002504,0.983910,0.000386,0.006775,0.000004,8.214180,0.090851
,,10000,0.959464,0.001205,0.981446,0.000453,0.959464,0.001205,0.968406,0.000918,0.503777,0.011047,0.902736,0.022663,0.577954,0.010982,0.883583,0.002966,0.987562,0.000379,0.010426,0.000003,16.239821,1.415979
,,20000,0.968496,0.000231,0.983819,0.000238,0.968496,0.000231,0.974630,0.000216,0.545451,0.008518,0.895259,0.018705,0.614133,0.010713,0.906734,0.000640,0.990001,0.000237,0.027830,0.000054,31.278498,15.330866
,,30000,0.972668,0.000442,0.985086,0.000190,0.972668,0.000442,0.977582,0.000268,0.583202,0.017446,0.895387,0.025371,0.646206,0.015381,0.917966,0.001187,0.991214,0.000276,0.034745,0.000084,49.157378,0.034876
,,40000,0.975116,0.000314,0.985933,0.000170,0.975116,0.000314,0.979355,0.000197,0.605126,0.013690,0.897925,0.025273,0.665992,0.010446,0.924683,0.000860,0.991890,0.000225,0.046956,0.000224,54.176579,296.318188
3,StandardScaler + NearMiss/SMOTE,500,0.106617,0.004754,0.794661,0.011141,0.106617,0.004754,0.142627,0.010386,0.269080,0.007285,0.515245,0.020181,0.133179,0.011755,0.114130,0.008577,0.515668,0.003469,0.002271,0.000000,1.964657,0.059657
,,1000,0.117881,0.004684,0.776805,0.046873,0.117881,0.004684,0.157632,0.010106,0.309113,0.027173,0.608091,0.018685,0.196876,0.028195,0.117125,0.015463,0.505679,0.007712,0.004033,0.000004,3.008231,0.314611
,,2000,0.123519,0.004550,0.833323,0.030509,0.123519,0.004550,0.164281,0.010335,0.297862,0.007952,0.652485,0.020595,0.204278,0.005466,0.127403,0.012317,0.525460,0.005226,0.004096,0.000000,6.331176,0.499997
,,5000,0.136204,0.004069,0.811751,0.016639,0.136204,0.004069,0.177653,0.008802,0.274556,0.005266,0.721365,0.019577,0.194802,0.006912,0.135040,0.011769,0.529699,0.006920,0.008017,0.000002,13.834793,1.927761
,,10000,0.155927,0.003745,0.803525,0.010082,0.155927,0.003745,0.208311,0.006643,0.279650,0.005249,0.736393,0.021386,0.209207,0.006512,0.145482,0.007236,0.537559,0.002519,0.019211,0.000048,25.165597,1.288336
,,20000,0.189298,0.005158,0.879382,0.033353,0.189298,0.005158,0.252199,0.008855,0.293130,0.007609,0.756148,0.023493,0.232420,0.007808,0.195281,0.021387,0.562497,0.013356,0.034696,0.000078,41.941898,14.539915
,,30000,0.242681,0.011006,0.925848,0.024872,0.242681,0.011006,0.309763,0.021507,0.307598,0.009648,0.804881,0.023826,0.264470,0.011152,0.265436,0.016943,0.606461,0.019831,0.044825,0.000068,72.855735,7.464716
,,40000,0.312204,0.028192,0.960233,0.005500,0.312204,0.028192,0.404278,0.043308,0.312919,0.007671,0.823457,0.022794,0.283728,0.010655,0.310781,0.013334,0.673409,0.017487,0.047408,0.000082,73.466664,112.754618
4,StandardScaler + NearMiss/SMOTE/ENN,500,0.112610,0.002773,0.812741,0.017585,0.112610,0.002773,0.154899,0.004576,0.272761,0.003782,0.530392,0.008790,0.137214,0.006233,0.119437,0.010197,0.519031,0.004629,0.002707,0.000000,1.895569,0.187197
,,1000,0.122437,0.002595,0.791621,0.037746,0.122437,0.002595,0.167926,0.006653,0.313276,0.027390,0.624995,0.009473,0.203762,0.026317,0.122946,0.017766,0.509057,0.006312,0.003435,0.000001,3.039893,0.301005
,,2000,0.125999,0.003742,0.840245,0.026364,0.125999,0.003742,0.171157,0.009466,0.305989,0.010253,0.661739,0.011438,0.213530,0.009493,0.133283,0.014988,0.528157,0.006697,0.006604,0.000026,5.433613,0.035876
,,5000,0.136314,0.004127,0.827947,0.025094,0.136314,0.004127,0.181281,0.010562,0.282849,0.009385,0.719303,0.019320,0.202624,0.011317,0.142738,0.016690,0.531588,0.008369,0.010465,0.000028,13.045911,1.588125
,,10000,0.156465,0.004557,0.813889,0.012114,0.156465,0.004557,0.213234,0.010857,0.288655,0.008990,0.735214,0.022960,0.217305,0.011268,0.152398,0.011812,0.538516,0.001765,0.019251,0.000121,24.403793,1.224487
,,20000,0.188099,0.005824,0.879175,0.037056,0.188099,0.005824,0.255803,0.011467,0.302515,0.012140,0.753868,0.023183,0.240527,0.013300,0.198322,0.024334,0.564059,0.014044,0.041375,0.000631,42.278638,11.796424
,,30000,0.242726,0.010889,0.932617,0.027659,0.242726,0.010889,0.316486,0.024560,0.320194,0.015540,0.803959,0.025565,0.277109,0.018103,0.272668,0.020507,0.607001,0.020108,0.047157,0.000447,72.309092,3.451923
,,40000,0.311510,0.028596,0.967111,0.007421,0.311510,0.028596,0.410184,0.041463,0.325739,0.013697,0.823785,0.024445,0.296501,0.016174,0.318030,0.013870,0.673700,0.017482,0.084232,0.001669,86.385980,143.141596
5,RobustScaler + RUS/SMOTE,500,0.706745,0.011417,0.905706,0.003333,0.706745,0.011417,0.776386,0.009877,0.223771,0.006444,0.759579,0.030581,0.271851,0.006613,0.479717,0.009106,0.898536,0.002529,0.003720,0.000002,0.903641,0.015124
,,1000,0.736400,0.006489,0.912406,0.000831,0.736400,0.006489,0.798945,0.004407,0.239403,0.004251,0.770654,0.034387,0.293560,0.005753,0.515047,0.005201,0.913575,0.002081,0.006461,0.000006,1.034925,0.009246
,,2000,0.764127,0.005198,0.918364,0.001746,0.764127,0.005198,0.819749,0.004159,0.255432,0.003364,0.777094,0.033278,0.314922,0.003899,0.548618,0.004749,0.926321,0.001453,0.013665,0.000045,1.096807,0.064138
,,5000,0.800775,0.003999,0.927484,0.001383,0.800775,0.003999,0.847493,0.002941,0.275771,0.005578,0.792775,0.037944,0.340424,0.006597,0.595857,0.004740,0.940933,0.001277,0.031433,0.000047,1.348475,0.003594
