DESCRIPCIÓN EXPERIMENTO,N,métrica,tipo_tiempo,tiempo,valor_métrica,delta_métrica,delta_tiempo,VD,VD_normalizado
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,fit_time,0.004187,0.007901,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,fit_time,0.005695,0.016194,0.008293,0.0015080000000000007,5.499336870026522,1.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,fit_time,0.010602,0.009102,-0.007091999999999999,0.004907,-1.445282249847157,0.0
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,fit_time,0.031003,0.009852,0.0007499999999999989,0.020401,0.03676290377922646,0.21340913418637442
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,fit_time,0.070776,0.005066,-0.0047859999999999995,0.039773,-0.12033288914590298,0.19078790900275527
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,fit_time,0.140607,0.012364,0.007298,0.069831,0.10450945854992767,0.22316439269678406
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,fit_time,0.210941,0.012923,0.0005590000000000005,0.07033399999999998,0.007947791964057222,0.20925986245270828
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,fit_time,0.281188,0.014619,0.0016959999999999996,0.070247,0.02414337978846071,0.21159196843934994
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,score_time,0.735285,0.007901,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,score_time,1.174376,0.016194,0.008293,0.4390910000000001,0.018886745572102362,1.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,score_time,2.061453,0.009102,-0.007091999999999999,0.8870770000000001,-0.007994796393097778,0.0
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,score_time,4.718534,0.009852,0.0007499999999999989,2.657081,0.0002822646355154393,0.30790871443789936
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,score_time,9.278754,0.005066,-0.0047859999999999995,4.560219999999999,-0.0010495107692172748,0.25836634047524565
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,score_time,18.462503,0.012364,0.007298,9.183749000000002,0.0007946645754364582,0.3269701187496145
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,score_time,27.71297,0.012923,0.0005590000000000005,9.250466999999997,6.042938156527672e-05,0.2996563882046296
