ID,Rebalancing,Model,RobustScaler (PCA) Recall macro CV,RobustScaler (PCA) Recall macro Hold,RobustScaler (PCA) Recall macro Δ,RobustScaler (PCA) F-score macro CV,RobustScaler (PCA) F-score macro Hold,RobustScaler (PCA) F-score macro Δ,RobustScaler (PCA) MCC CV,RobustScaler (PCA) MCC Hold,RobustScaler (PCA) MCC Δ,StandardScaler (PCA) Recall macro CV,StandardScaler (PCA) Recall macro Hold,StandardScaler (PCA) Recall macro Δ,StandardScaler (PCA) F-score macro CV,StandardScaler (PCA) F-score macro Hold,StandardScaler (PCA) F-score macro Δ,StandardScaler (PCA) MCC CV,StandardScaler (PCA) MCC Hold,StandardScaler (PCA) MCC Δ
1,None,K-NN,0.672,0.663,0.009,0.673,0.679,0.006,0.905,0.910,0.005,0.812,0.827,0.015,0.829,0.842,0.013,0.983,0.984,0.001
2,None,Log. Reg.,0.093,0.094,0.001,0.076,0.077,0.000,0.058,0.057,0.000,0.507,0.509,0.001,0.523,0.531,0.009,0.913,0.913,0.001
3,None,MLP,0.131,0.125,0.006,0.135,0.139,0.004,0.288,0.276,0.012,0.677,0.670,0.007,0.702,0.697,0.006,0.955,0.957,0.002
4,RUS/SMOTE,K-NN,0.797,0.778,0.019,0.364,0.364,0.001,0.633,0.643,0.010,0.906,0.906,0.001,0.573,0.577,0.004,0.881,0.880,0.001
5,RUS/SMOTE,Log. Reg.,0.155,0.155,0.000,0.031,0.037,0.006,0.023,0.038,0.015,0.883,0.898,0.015,0.376,0.369,0.006,0.608,0.611,0.003
6,RUS/SMOTE,MLP,0.227,0.223,0.004,0.100,0.078,0.021,0.145,0.155,0.010,0.891,0.862,0.029,0.527,0.576,0.050,0.827,0.849,0.022
7,NM/SMOTE,K-NN,0.640,0.576,0.063,0.102,0.068,0.033,0.073,0.052,0.021,0.736,0.733,0.003,0.209,0.205,0.004,0.145,0.145,0.000
8,NM/SMOTE,Log. Reg.,0.147,0.161,0.014,0.024,0.025,0.001,0.006,0.006,0.000,0.723,0.757,0.034,0.162,0.160,0.002,0.156,0.166,0.010
9,NM/SMOTE,MLP,0.183,0.188,0.005,0.059,0.021,0.038,0.040,0.017,0.022,0.743,0.702,0.042,0.188,0.166,0.022,0.182,0.157,0.026
10,RUS/SMOTE/ENN,K-NN,0.797,0.759,0.038,0.377,0.380,0.003,0.664,0.669,0.006,0.903,0.904,0.002,0.578,0.580,0.002,0.884,0.881,0.002
11,RUS/SMOTE/ENN,Log. Reg.,0.150,0.149,0.001,0.029,0.032,0.003,0.027,0.035,0.007,0.880,0.894,0.015,0.378,0.374,0.005,0.615,0.615,0.000
12,RUS/SMOTE/ENN,MLP,0.223,0.216,0.007,0.069,0.106,0.038,0.085,0.186,0.101,0.902,0.854,0.048,0.546,0.561,0.015,0.838,0.840,0.002
13,NM/SMOTE/ENN,K-NN,0.648,0.578,0.070,0.097,0.075,0.022,0.073,0.061,0.012,0.735,0.733,0.003,0.217,0.218,0.000,0.152,0.155,0.003
14,NM/SMOTE/ENN,Log. Reg.,0.141,0.151,0.010,0.058,0.082,0.024,-0.020,-0.028,0.009,0.712,0.738,0.026,0.150,0.138,0.012,0.135,0.130,0.005
15,NM/SMOTE/ENN,MLP,0.194,0.204,0.010,0.048,0.024,0.024,0.038,0.032,0.006,0.751,0.712,0.039,0.193,0.189,0.004,0.190,0.156,0.034
