NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.972573,0.973210,0.972573,0.972498,0.818843,0.702771,0.722935,0.005121,0.027427,0.002170,0.297229,0.966615,0.997606,0.000000,256.643681,0.090660
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.987429,0.987926,0.987429,0.987535,0.922918,0.916196,0.910565,0.001928,0.012571,0.000967,0.083804,0.984670,0.996817,0.000219,0.692395,73.549122
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.988505,0.989281,0.988505,0.988610,0.873712,0.818988,0.821668,0.001353,0.011495,0.000857,0.181012,0.986036,0.999229,0.000001,64.486827,0.191212
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.935253,0.969177,0.935253,0.948561,0.631479,0.923934,0.643981,0.003909,0.064747,0.004577,0.076066,0.923810,0.993446,0.000000,18.106388,0.101850
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.980733,0.983920,0.980733,0.981593,0.789389,0.951764,0.828416,0.001781,0.019267,0.001403,0.048236,0.976750,0.993639,0.000025,0.077675,8.254162
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.980497,0.984152,0.980497,0.981644,0.714409,0.945812,0.754696,0.001878,0.019503,0.001425,0.054188,0.976434,0.998547,0.000001,8.909658,0.190699
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.938584,0.970187,0.938584,0.951449,0.637655,0.922416,0.648068,0.004067,0.061416,0.004366,0.077584,0.927401,0.993615,0.000000,21.282089,0.097026
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.980190,0.983117,0.980190,0.981066,0.784895,0.950292,0.825291,0.002109,0.019810,0.001461,0.049708,0.976022,0.993574,0.000023,0.074409,7.845397
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.977422,0.982069,0.977422,0.979172,0.702414,0.945306,0.735853,0.002651,0.022578,0.001682,0.054694,0.972619,0.998573,0.000001,6.852829,0.196843
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.442614,0.817212,0.442614,0.478968,0.461641,0.729933,0.361912,0.014194,0.557386,0.038105,0.270067,0.428892,0.772577,0.000000,21.864047,0.098608
