NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
1,StandardScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,StandardScaler,NONE,Sin PCA,0.950633,0.001029,0.950663,0.001206,0.950633,0.001029,0.947874,0.001362,0.765424,0.015857,0.569064,0.013640,0.606721,0.009999,0.024753,0.000852,0.049367,0.001029,0.005294,0.000134,0.430936,0.013640,0.930271,0.001548,0.994772,0.000065,0.000000,0.000000,93.379036,60.428442,0.020867,0.000000
2,StandardScaler + Sin rebalanceo + Sin PCA + KNN,knn,StandardScaler,NONE,Sin PCA,0.995118,0.000080,0.995158,0.000095,0.995118,0.000080,0.995123,0.000086,0.924553,0.016839,0.908701,0.025406,0.911570,0.011183,0.001127,0.000076,0.004882,0.000080,0.000429,0.000011,0.091299,0.025406,0.993065,0.000115,0.999113,0.000091,0.000282,0.000009,0.131794,0.000940,49.652755,2.672726
3,StandardScaler + Sin rebalanceo + Sin PCA + MLP,mlp,StandardScaler,NONE,Sin PCA,0.987489,0.000367,0.987386,0.000375,0.987489,0.000367,0.986539,0.000220,0.794990,0.031310,0.698359,0.028166,0.708244,0.033962,0.004758,0.000313,0.012511,0.000367,0.001233,0.000014,0.301641,0.028166,0.982202,0.000519,0.999411,0.000027,0.000000,0.000000,304.386160,26347.747908,0.074304,0.000036
4,StandardScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,Sin PCA,0.889130,0.001273,0.947850,0.000987,0.889130,0.001273,0.907795,0.001265,0.500129,0.003961,0.826460,0.035944,0.545311,0.003431,0.014808,0.000379,0.110870,0.001273,0.008977,0.000115,0.173540,0.035944,0.856225,0.001589,0.981381,0.000349,0.000000,0.000000,22.756529,9.829035,0.021170,0.000002
5,StandardScaler + RUS/SMOTE + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE,Sin PCA,0.983513,0.000591,0.989094,0.000272,0.983513,0.000591,0.985575,0.000440,0.702006,0.005412,0.933462,0.029532,0.753635,0.006660,0.000956,0.000107,0.016487,0.000591,0.001246,0.000048,0.066538,0.029532,0.976903,0.000815,0.995550,0.000349,0.000051,0.000005,0.023560,0.000017,8.903365,0.811481
6,StandardScaler + RUS/SMOTE + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE,Sin PCA,0.934764,0.002543,0.961895,0.001460,0.934764,0.002543,0.944506,0.002318,0.613010,0.014947,0.859688,0.045869,0.652603,0.015227,0.012450,0.000315,0.065236,0.002543,0.005549,0.000194,0.140312,0.045869,0.912178,0.003266,0.990004,0.001803,0.000000,0.000000,22.379127,76.569869,0.077715,0.000013
7,StandardScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.890665,0.001422,0.948589,0.001179,0.890665,0.001422,0.909244,0.001587,0.502276,0.004812,0.826826,0.035797,0.547146,0.004738,0.014540,0.000623,0.109335,0.001422,0.008848,0.000142,0.173174,0.035797,0.858018,0.001714,0.982263,0.001262,0.000000,0.000000,19.082109,18.966939,0.020904,0.000004
8,StandardScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.984385,0.000534,0.988635,0.000251,0.984385,0.000534,0.985911,0.000415,0.704241,0.001887,0.922321,0.044542,0.754514,0.003057,0.001270,0.000128,0.015615,0.000534,0.001206,0.000043,0.077679,0.044542,0.978052,0.000740,0.994769,0.000277,0.000071,0.000004,0.039423,0.000096,12.498943,0.421124
9,StandardScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.937403,0.002940,0.962420,0.001516,0.937403,0.002940,0.946344,0.002528,0.619430,0.014325,0.861726,0.042858,0.660005,0.013248,0.012335,0.000275,0.062597,0.002940,0.005352,0.000223,0.138274,0.042858,0.915503,0.003812,0.990004,0.002118,0.000000,0.000000,33.533772,158.135949,0.084538,0.000210
10,StandardScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,Sin PCA,0.319868,0.050048,0.884823,0.031789,0.319868,0.050048,0.372397,0.058943,0.296332,0.013313,0.702884,0.041883,0.222167,0.018374,0.014975,0.004779,0.680132,0.050048,0.049651,0.003423,0.297116,0.041883,0.311848,0.042966,0.620061,0.031481,0.000000,0.000000,24.649406,26.799289,0.024299,0.000053
