NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.946416,0.945739,0.946416,0.943120,0.753357,0.547667,0.585960,0.026926,0.053584,0.005751,0.452333,0.924153,0.993854,0.000000,122.646245,0.086446
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.995281,0.995317,0.995281,0.995286,0.934914,0.938325,0.936376,0.001151,0.004719,0.000419,0.061675,0.993296,0.999123,0.000196,0.697807,43.066304
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.987585,0.987952,0.987585,0.985976,0.804331,0.674160,0.672591,0.004694,0.012415,0.001222,0.325840,0.982342,0.999437,0.000001,56.603578,0.149283
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.877555,0.944287,0.877555,0.898237,0.470812,0.790461,0.519937,0.015285,0.122445,0.009838,0.209539,0.842684,0.977524,0.000000,17.152219,0.091791
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.983016,0.988730,0.983016,0.985094,0.701458,0.963111,0.755938,0.000991,0.016984,0.001284,0.036889,0.976216,0.995365,0.000034,0.106012,7.533284
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.938589,0.964121,0.938589,0.947894,0.628457,0.834390,0.663678,0.011981,0.061411,0.005242,0.165610,0.917217,0.993704,0.000001,17.561247,0.158185
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.881168,0.945092,0.881168,0.901447,0.489214,0.789057,0.542203,0.015300,0.118832,0.009581,0.210943,0.846691,0.978667,0.000000,15.234653,0.082956
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.981218,0.987297,0.981218,0.983444,0.697420,0.956662,0.751598,0.001517,0.018782,0.001450,0.043338,0.973660,0.993955,0.000031,0.102587,6.899931
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.937073,0.963234,0.937073,0.946776,0.628251,0.826037,0.664425,0.012375,0.062927,0.005379,0.173963,0.915056,0.993172,0.000001,13.223007,0.157255
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.419290,0.883503,0.419290,0.471610,0.303717,0.705124,0.263542,0.023107,0.580710,0.043130,0.294876,0.390802,0.694325,0.000000,16.415106,0.085465
11,StandardScaler + NearMiss/SMOTE + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,PCA,0.371796,0.853625,0.371796,0.386135,0.347352,0.821615,0.313683,0.043494,0.628204,0.047978,0.178385,0.343131,0.669577,0.000034,0.098682,7.541404
12,StandardScaler + NearMiss/SMOTE + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,PCA,0.411735,0.854525,0.411735,0.415734,0.352287,0.731321,0.329612,0.046689,0.588265,0.045354,0.268679,0.386765,0.691003,0.000001,10.846686,0.178889
13,StandardScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.354797,0.882159,0.354797,0.395753,0.308576,0.688598,0.253910,0.022438,0.645203,0.047689,0.311402,0.338114,0.665573,0.000000,14.252931,0.081279
14,StandardScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.374877,0.851467,0.374877,0.392182,0.344811,0.818702,0.313592,0.040288,0.625123,0.047529,0.181298,0.347218,0.670781,0.000035,0.099769,7.753749
15,StandardScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.384488,0.864958,0.384488,0.392623,0.336888,0.785018,0.298750,0.040370,0.615512,0.046849,0.214982,0.357753,0.630167,0.000001,10.712841,0.147022
