NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
1,StandardScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,StandardScaler,NONE,Sin PCA,0.975641,0.000196,0.978098,0.000336,0.975641,0.000196,0.975764,0.000227,0.713137,0.051927,0.620978,0.018539,0.630437,0.011084,0.045932,0.000911,0.024359,0.000196,0.004686,0.000069,0.379022,0.018539,0.920584,0.000648,0.997072,0.000079,0.000000,0.000000,103.511940,167.222111,0.036270,0.000001
2,StandardScaler + Sin rebalanceo + Sin PCA + KNN,knn,StandardScaler,NONE,Sin PCA,0.994831,0.000050,0.994847,0.000056,0.994831,0.000050,0.994826,0.000053,0.881771,0.035613,0.812332,0.017545,0.829627,0.023732,0.009945,0.000443,0.005169,0.000050,0.001008,0.000031,0.187668,0.017545,0.982847,0.000166,0.997996,0.000157,0.000408,0.000083,0.372153,0.008852,164.685873,1127.250359
3,StandardScaler + Sin rebalanceo + Sin PCA + MLP,mlp,StandardScaler,NONE,Sin PCA,0.996842,0.000091,0.996739,0.000109,0.996842,0.000091,0.996403,0.000085,0.875857,0.028578,0.697489,0.035649,0.721375,0.030244,0.010194,0.000636,0.003158,0.000091,0.000890,0.000046,0.302511,0.035649,0.989472,0.000306,0.999778,0.000082,0.000000,0.000000,113.228626,66.077909,0.149775,0.000005
4,StandardScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,Sin PCA,0.808714,0.002388,0.958332,0.000677,0.808714,0.002388,0.866742,0.001509,0.331178,0.006437,0.889965,0.017099,0.399835,0.008066,0.003151,0.000096,0.191286,0.002388,0.012962,0.000158,0.110035,0.017099,0.639934,0.002658,0.985004,0.000415,0.000000,0.000000,21.414854,9.436944,0.037895,0.000000
5,StandardScaler + RUS/SMOTE + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE,Sin PCA,0.959085,0.001014,0.981313,0.000381,0.959085,0.001014,0.968020,0.000782,0.502488,0.010112,0.907431,0.018011,0.578137,0.008986,0.001823,0.000107,0.040915,0.001014,0.002849,0.000073,0.092569,0.018011,0.883582,0.002474,0.988327,0.000316,0.000026,0.000000,0.013284,0.000000,10.331266,0.004080
6,StandardScaler + RUS/SMOTE + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE,Sin PCA,0.938564,0.003746,0.967815,0.001295,0.938564,0.003746,0.949683,0.002756,0.478750,0.020055,0.904903,0.010892,0.559334,0.017821,0.002240,0.000200,0.061436,0.003746,0.004245,0.000262,0.095097,0.010892,0.836840,0.008035,0.996739,0.000268,0.000000,0.000000,10.667982,6.616863,0.149026,0.000000
7,StandardScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.813177,0.002194,0.958952,0.000980,0.813177,0.002194,0.870102,0.002004,0.334121,0.008748,0.889403,0.018111,0.402578,0.011196,0.003413,0.000246,0.186823,0.002194,0.012682,0.000152,0.110597,0.018111,0.644722,0.002524,0.985143,0.000603,0.000000,0.000000,18.810777,5.688543,0.037922,0.000000
8,StandardScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.960559,0.001143,0.981752,0.000471,0.960559,0.001143,0.969203,0.000895,0.509614,0.010299,0.904633,0.019615,0.582748,0.009882,0.005082,0.000241,0.039441,0.001143,0.002968,0.000088,0.095367,0.019615,0.886280,0.002852,0.987855,0.000432,0.000024,0.000000,0.014324,0.000002,9.786333,0.000492
9,StandardScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.946424,0.008036,0.973381,0.003995,0.946424,0.008036,0.957061,0.006610,0.493256,0.029267,0.909799,0.016645,0.567906,0.025616,0.003626,0.001783,0.053576,0.008036,0.003813,0.000455,0.090201,0.016645,0.853957,0.017605,0.996470,0.000340,0.000000,0.000000,10.011284,7.643680,0.147198,0.000006
10,StandardScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,Sin PCA,0.135815,0.004552,0.945504,0.003836,0.135815,0.004552,0.167244,0.007741,0.243310,0.008376,0.754629,0.014993,0.186678,0.014480,0.009645,0.005650,0.864185,0.004552,0.058255,0.000514,0.245371,0.014993,0.177882,0.009105,0.413902,0.037442,0.000000,0.000000,20.301712,8.316310,0.052774,0.000223
