NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,MCC,AUC-ROC
1,PCA4 + KNN,0.963805,0.963052,0.963805,0.963372,0.708199,0.583680,0.617170,0.878609,0.977639
2,PCA4 + Logistic Regression,0.014924,0.838852,0.014924,0.018975,0.090911,0.187752,0.034744,0.027895,0.479334
3,PCA4 + MLP,0.831109,0.690742,0.831109,0.754453,0.055407,0.066667,0.060518,0.000000,0.524821
4,RUS/SMOTE + PCA4 + KNN,0.775397,0.921802,0.775397,0.828157,0.243403,0.732232,0.298459,0.564611,0.930278
5,RUS/SMOTE + PCA4 + Logistic Regression,0.048195,0.819492,0.048195,0.022103,0.089105,0.174059,0.039546,0.033014,0.501115
6,RUS/SMOTE + PCA4 + MLP,0.039224,0.858997,0.039224,0.068443,0.151888,0.169321,0.075531,0.065851,0.533733
7,NearMiss/SMOTE + PCA4 + KNN,0.153650,0.870517,0.153650,0.188679,0.132454,0.602436,0.100178,0.146995,0.587035
8,NearMiss/SMOTE + PCA4 + Logistic Regression,0.057672,0.831933,0.057672,0.101930,0.086129,0.168302,0.038963,0.046620,0.626871
9,NearMiss/SMOTE + PCA4 + MLP,0.038752,0.837284,0.038752,0.066346,0.137759,0.184503,0.074660,0.043177,0.529000
10,RUS/SMOTE + ENN + PCA4 + KNN,0.783327,0.923333,0.783327,0.835019,0.250470,0.724207,0.305898,0.569369,0.929998
11,RUS/SMOTE + ENN + PCA4 + Logistic Regression,0.046517,0.811959,0.046517,0.018347,0.090350,0.180685,0.042148,0.031942,0.387451
12,RUS/SMOTE + ENN + PCA4 + MLP,0.033940,0.860859,0.033940,0.056950,0.169686,0.189833,0.085127,0.056482,0.524395
13,NearMiss/SMOTE + ENN + PCA4 + KNN,0.151492,0.869489,0.151492,0.187322,0.128920,0.600297,0.098335,0.143499,0.594863
14,NearMiss/SMOTE + ENN + PCA4 + Logistic Regression,0.055889,0.832501,0.055889,0.099063,0.086332,0.152041,0.038722,0.042769,0.648329
15,NearMiss/SMOTE + ENN + PCA4 + MLP,0.106216,0.840511,0.106216,0.080459,0.143575,0.172270,0.078601,0.062844,0.530287
