NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,MCC,AUC-ROC
1,PCA4 + KNN,0.992923,0.992909,0.992923,0.992910,0.844223,0.792304,0.804793,0.976482,0.996627
2,PCA4 + Logistic Regression,0.481399,0.915479,0.481399,0.608532,0.217863,0.628219,0.210357,0.335471,0.865633
4,PCA4 + MLP,0.977523,0.980218,0.977523,0.977771,0.783056,0.629943,0.652091,0.926978,0.997408
5,RUS/SMOTE + PCA4 + KNN,0.934356,0.977318,0.934356,0.952318,0.473958,0.891208,0.553044,0.827932,0.983358
6,RUS/SMOTE + PCA4 + Logistic Regression,0.492500,0.931221,0.492500,0.605161,0.220264,0.643411,0.228418,0.383232,0.876308
8,RUS/SMOTE + PCA4 + MLP,0.832865,0.953289,0.832865,0.879260,0.329408,0.875185,0.397813,0.664453,0.988178
9,NearMiss/SMOTE + PCA4 + KNN,0.171816,0.907665,0.171816,0.192512,0.215872,0.739590,0.184377,0.234454,0.582715
10,NearMiss/SMOTE + PCA4 + Logistic Regression,0.115204,0.457526,0.115204,0.142574,0.113432,0.553410,0.115898,0.021136,0.348923
12,NearMiss/SMOTE + PCA4 + MLP,0.166481,0.810035,0.166481,0.166297,0.172017,0.734898,0.152744,0.198667,0.603053
13,RUS/SMOTE + ENN + PCA4 + KNN,0.941001,0.979190,0.941001,0.957170,0.485363,0.890791,0.558337,0.841194,0.983252
14,RUS/SMOTE + ENN + PCA4 + Logistic Regression,0.491957,0.934970,0.491957,0.609422,0.221000,0.672315,0.226361,0.378679,0.890447
16,RUS/SMOTE + ENN + PCA4 + MLP,0.890485,0.965477,0.890485,0.921333,0.444425,0.872758,0.507585,0.744371,0.990532
17,NearMiss/SMOTE + ENN + PCA4 + KNN,0.171067,0.905766,0.171067,0.191801,0.223183,0.739972,0.192557,0.234380,0.532977
18,NearMiss/SMOTE + ENN + PCA4 + Logistic Regression,0.113861,0.444116,0.113861,0.141961,0.112582,0.511979,0.111884,0.015257,0.363976
20,NearMiss/SMOTE + ENN + PCA4 + MLP,0.177315,0.852046,0.177315,0.197110,0.212521,0.775648,0.196217,0.239928,0.532977
