dataset,experiment,component,explained_variance_ratio,cumulative_variance
CIC17,A1__RobustScaler,1,0.9107141334926464,0.9107141334926464
CIC17,A1__RobustScaler,2,0.06949693085711296,0.9802110643497594
CIC17,A1__RobustScaler,3,0.01362333869770548,0.9938344030474648
CIC17,A1__RobustScaler,4,0.0025135273305147404,0.9963479303779795
CIC17,A1__RobustScaler,5,0.002244664827759387,0.998592595205739
CIC17,A1__RobustScaler,6,0.000924908405163913,0.9995175036109029
CIC17,A1__RobustScaler,7,0.00020044000964610114,0.999717943620549
CIC17,A1__RobustScaler,8,0.00017221240975627943,0.9998901560303053
CIC17,A1__RobustScaler,9,7.799937723392427e-05,0.9999681554075392
CIC17,A1__RobustScaler,10,2.9752823795235948e-05,0.9999979082313345
CIC17,A1__RobustScaler,11,2.081211264138774e-06,0.9999999894425986
CIC17,A1__RobustScaler,12,3.6854978778433344e-09,0.9999999931280965
CIC17,A1__RobustScaler,13,3.5107373701515758e-09,0.9999999966388339
CIC17,A1__RobustScaler,14,2.385335206313988e-09,0.999999999024169
CIC17,A1__RobustScaler,15,4.874172857662861e-10,0.9999999995115864
CIC17,A1__RobustScaler,16,1.7856510505733685e-10,0.9999999996901514
CIC17,A1__RobustScaler,17,9.573212537373464e-11,0.9999999997858835
CIC17,A1__RobustScaler,18,7.944294668202929e-11,0.9999999998653264
CIC17,A1__RobustScaler,19,4.932169272834951e-11,0.999999999914648
CIC17,A1__RobustScaler,20,4.1452379009515905e-11,0.9999999999561004
CIC17,A1__RobustScaler,21,1.3658169418569379e-11,0.9999999999697586
CIC17,A1__RobustScaler,22,1.2495408544526891e-11,0.9999999999822541
CIC17,A1__RobustScaler,23,6.663901251414961e-12,0.999999999988918
CIC17,A1__RobustScaler,24,6.154529019284152e-12,0.9999999999950725
CIC17,A1__RobustScaler,25,3.377411540550505e-12,0.9999999999984499
CIC17,A1__RobustScaler,26,9.604856881247407e-13,0.9999999999994104
CIC17,A1__RobustScaler,27,1.5617949538598532e-13,0.9999999999995666
CIC17,A1__RobustScaler,28,1.1525208412767063e-13,0.9999999999996818
CIC17,A1__RobustScaler,29,8.676215775709482e-14,0.9999999999997685
CIC17,A1__RobustScaler,30,6.704465746942069e-14,0.9999999999998356
CIC17,A1__RobustScaler,31,4.930170295639177e-14,0.9999999999998849
CIC17,A1__RobustScaler,32,3.588191867657979e-14,0.9999999999999207
CIC17,A1__RobustScaler,33,2.370394078204328e-14,0.9999999999999445
CIC17,A1__RobustScaler,34,1.5132446517827224e-14,0.9999999999999596
CIC17,A1__RobustScaler,35,1.128993246295317e-14,0.9999999999999709
CIC17,A1__RobustScaler,36,9.401235645570891e-15,0.9999999999999803
CIC17,A1__RobustScaler,37,5.737341651731822e-15,0.9999999999999861
CIC17,A1__RobustScaler,38,5.449455665040786e-15,0.9999999999999916
CIC17,A1__RobustScaler,39,2.423365484127222e-15,0.999999999999994
CIC17,A1__RobustScaler,40,1.811247179346088e-15,0.9999999999999958
CIC17,A1__RobustScaler,41,1.4092153207201272e-15,0.9999999999999972
CIC17,A1__RobustScaler,42,9.590090837080051e-16,0.9999999999999982
CIC17,A1__RobustScaler,43,9.226090449387465e-16,0.9999999999999991
CIC17,A1__RobustScaler,44,5.445914888415003e-16,0.9999999999999997
CIC17,A1__RobustScaler,45,4.890236747988399e-16,1.0000000000000002
CIC17,A1__RobustScaler,46,1.0278167327747938e-17,1.0000000000000002
CIC17,A1__RobustScaler,47,1.1945003906702438e-18,1.0000000000000002
