dataset,experiment,component,explained_variance_ratio,cumulative_variance
CIC17,A1__StandardScaler,1,0.18011020803616107,0.18011020803616107
CIC17,A1__StandardScaler,2,0.09432116271157637,0.27443137074773744
CIC17,A1__StandardScaler,3,0.0648260841377826,0.33925745488552006
CIC17,A1__StandardScaler,4,0.06384873447137113,0.4031061893568912
CIC17,A1__StandardScaler,5,0.04953518172203409,0.45264137107892527
CIC17,A1__StandardScaler,6,0.04536799158648533,0.4980093626654106
CIC17,A1__StandardScaler,7,0.04290195745640988,0.5409113201218205
CIC17,A1__StandardScaler,8,0.04126420129760719,0.5821755214194277
CIC17,A1__StandardScaler,9,0.03933403969364517,0.6215095611130729
CIC17,A1__StandardScaler,10,0.03326357643494745,0.6547731375480204
CIC17,A1__StandardScaler,11,0.02985957473730288,0.6846327122853232
CIC17,A1__StandardScaler,12,0.026351414829811664,0.7109841271151348
CIC17,A1__StandardScaler,13,0.02421972681351918,0.735203853928654
CIC17,A1__StandardScaler,14,0.021948267945657105,0.757152121874311
CIC17,A1__StandardScaler,15,0.021300684937128625,0.7784528068114397
CIC17,A1__StandardScaler,16,0.021215444951331226,0.7996682517627709
CIC17,A1__StandardScaler,17,0.020294324839966606,0.8199625766027375
CIC17,A1__StandardScaler,18,0.019443411673330763,0.8394059882760683
CIC17,A1__StandardScaler,19,0.018801647071339717,0.858207635347408
CIC17,A1__StandardScaler,20,0.01810186941131231,0.8763095047587203
CIC17,A1__StandardScaler,21,0.01664679487806689,0.8929562996367871
CIC17,A1__StandardScaler,22,0.014906189962067534,0.9078624895988546
CIC17,A1__StandardScaler,23,0.013737836777118685,0.9216003263759733
CIC17,A1__StandardScaler,24,0.011941007876255003,0.9335413342522283
CIC17,A1__StandardScaler,25,0.011532943011587126,0.9450742772638154
CIC17,A1__StandardScaler,26,0.010052179394280337,0.9551264566580958
CIC17,A1__StandardScaler,27,0.007667125182120228,0.962793581840216
CIC17,A1__StandardScaler,28,0.006661421346486796,0.9694550031867029
CIC17,A1__StandardScaler,29,0.006010027111513535,0.9754650302982164
CIC17,A1__StandardScaler,30,0.005374472024725145,0.9808395023229416
CIC17,A1__StandardScaler,31,0.00415664474895507,0.9849961470718966
CIC17,A1__StandardScaler,32,0.00331594820636867,0.9883120952782654
CIC17,A1__StandardScaler,33,0.0020937376228659147,0.9904058329011313
CIC17,A1__StandardScaler,34,0.002057234130029324,0.9924630670311606
CIC17,A1__StandardScaler,35,0.0019848177870102645,0.9944478848181709
CIC17,A1__StandardScaler,36,0.0016511561520628762,0.9960990409702338
CIC17,A1__StandardScaler,37,0.0011820362515801213,0.9972810772218139
CIC17,A1__StandardScaler,38,0.00093018368894828,0.9982112609107622
CIC17,A1__StandardScaler,39,0.0008489938918470446,0.9990602548026092
CIC17,A1__StandardScaler,40,0.000368140676322673,0.9994283954789318
CIC17,A1__StandardScaler,41,0.00025971393263653165,0.9996881094115684
CIC17,A1__StandardScaler,42,0.00013320165263213028,0.9998213110642005
CIC17,A1__StandardScaler,43,6.348816203190829e-05,0.9998847992262324
CIC17,A1__StandardScaler,44,5.894059295851617e-05,0.9999437398191909
CIC17,A1__StandardScaler,45,3.689195531880717e-05,0.9999806317745097
CIC17,A1__StandardScaler,46,1.0843993171480427e-05,0.9999914757676812
CIC17,A1__StandardScaler,47,8.524232318836111e-06,1.0
