loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.008321015731148098,0.009382089599967003,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.002766452729701996,0.9981974968264044,999.8188,403.401,25.213,,,,,
0.0025306161113558628,2.3958771635079756e-05,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.0019982776138931513,0.9985322119961917,992.4149,406.411,25.401,,,,,
0.002006788020737774,0.010915394872426987,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.001904998323880136,0.9984900626785148,997.9499,404.157,25.26,,,,,
0.0017943948233025448,0.035703450441360474,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.0018282139208167791,0.998408243414789,998.9218,403.763,25.235,,,,,
0.0016574015204242887,0.05514903366565704,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.0016791450325399637,0.9987032886385274,1001.6262,402.673,25.167,,,,,
0.0015568291335134648,0.00011807034752564505,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.0018830345943570137,0.9986537012059664,995.5391,405.135,25.321,,,,,
0.0014533539568950394,5.92683932154614e-07,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.0016663522692397237,0.9985669231989844,992.0598,406.556,25.41,,,,,
0.0013929687579901625,0.00018812823691405356,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.001635278109461069,0.9987057680101555,999.6555,403.467,25.217,,,,,
0.0013188510726497727,1.2203759069961961e-06,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.001746602589264512,0.9987355204696922,996.8429,404.605,25.288,,,,,
0.0012655446583110163,0.0050826300866901875,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.0017391869332641363,0.9987429585845763,998.2348,404.041,25.253,,,,,
,,,10.0,1008320,,,,,,61572.8586,262.017,16.376,8.783416251057439e+17,0.0023297763786328026
