loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.012762032777912765,0.04639027267694473,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.0064314668998122215,0.9954825848936846,954.8882,422.382,26.399,,,,,
0.005645014679042244,0.005804251413792372,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.005178328603506088,0.9961966439225642,962.2033,419.171,26.198,,,,,
0.004887780625643862,9.12539144337643e-06,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.004655858501791954,0.9965288797207236,966.178,417.447,26.09,,,,,
0.004559341365290006,0.06825915724039078,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.004536633845418692,0.9968735123770232,957.0876,421.412,26.338,,,,,
0.004335451262294584,1.751433501340216e-06,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.004303636495023966,0.99700491907331,965.9568,417.542,26.096,,,,,
0.00417492768757686,0.053314175456762314,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.004281258210539818,0.9970346715328468,956.5375,421.654,26.353,,,,,
0.003993512864568354,2.4474434212606866e-06,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.0043087187223136425,0.9970693827356395,962.3028,419.128,26.195,,,,,
0.003855333597612396,7.528402784373611e-05,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0043313028290867805,0.9969726872421454,962.3577,419.104,26.194,,,,,
0.0037590745364776,0.06582781672477722,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.004191443789750338,0.9971462432561091,961.8296,419.334,26.208,,,,,
0.003670113459726017,1.837265472204308e-06,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.004206208046525717,0.9969974809584259,959.5085,420.349,26.272,,,,,
,,,10.0,1008320,,,,,,60616.0047,266.153,16.635,8.78536584511488e+17,0.005164258285614469
