dataset,partition,label,count,proportion
CIC17,original,0,2095057,0.831108640993844
CIC17,original,1,172846,0.06856796934938857
CIC17,original,2,128014,0.05078312502628136
CIC17,original,3,90694,0.035978289414701214
CIC17,original,4,10286,0.004080453888014827
CIC17,original,5,5931,0.0023528263668885804
CIC17,original,6,5385,0.002136228289613051
CIC17,original,7,5228,0.0020739464249019558
CIC17,original,8,3219,0.0012769765764650718
CIC17,original,9,1948,0.0007727711621478595
CIC17,original,10,1470,0.0005831486695879638
CIC17,original,11,652,0.00025864825344989957
CIC17,original,12,36,1.4281191908276665e-05
CIC17,original,13,21,8.330695279828055e-06
CIC17,original,14,11,4.363697527528981e-06
CIC17,train,0,1676046,0.8311085920682879
CIC17,train,1,138277,0.06856804812363541
CIC17,train,2,102411,0.05078301074213084
CIC17,train,3,72555,0.035978179535355606
CIC17,train,4,8229,0.004080551848893134
CIC17,train,5,4745,0.0023529248417788213
CIC17,train,6,4308,0.0021362276540322785
CIC17,train,7,4182,0.002073747458022978
CIC17,train,8,2575,0.0012768770216186438
CIC17,train,9,1558,0.0007725725824007172
CIC17,train,10,1176,0.0005831484960868058
CIC17,train,11,522,0.00025884652632424544
CIC17,train,12,29,1.4380362573569192e-05
CIC17,train,13,17,8.42986771554056e-06
CIC17,train,14,9,4.462871143521473e-06
CIC17,test,0,419011,0.8311088366963597
CIC17,test,1,34569,0.06856765425193243
CIC17,test,2,25603,0.050783582163563476
CIC17,test,3,18139,0.03597872893273749
CIC17,test,4,2057,0.004080062043918684
CIC17,test,5,1186,0.002352432466741643
CIC17,test,6,1077,0.002136230831939924
CIC17,test,7,1046,0.00207474229360182
CIC17,test,8,644,0.0012773747964431857
CIC17,test,9,390,0.0007735654823180782
CIC17,test,10,294,0.0005831493635936282
CIC17,test,11,130,0.0002578551607726927
CIC17,test,12,7,1.3884508656991147e-05
CIC17,test,13,4,7.934004946852085e-06
CIC17,test,14,2,3.967002473426043e-06
CIC17,fold_1_train,0,1340836,0.831108199225072
CIC17,fold_1_train,1,110622,0.06856830456124083
CIC17,fold_1_train,2,81929,0.05078314100629079
CIC17,fold_1_train,3,58044,0.03597818399552225
CIC17,fold_1_train,4,6583,0.004080428386095427
CIC17,fold_1_train,5,3796,0.002352925133467757
