dataset,partition,rows,columns,proportion
CIC17,original,2520798,48,1.0
CIC17,train,2016639,48,0.8000002380198651
CIC17,test,504159,48,0.19999976198013486
CIC17,fold_1_train,1613311,48,0.640000111075937
CIC17,fold_1_val,403328,48,0.16000012694392807
CIC17,fold_2_train,1613311,48,0.640000111075937
CIC17,fold_2_val,403328,48,0.16000012694392807
CIC17,fold_3_train,1613311,48,0.640000111075937
CIC17,fold_3_val,403328,48,0.16000012694392807
CIC17,fold_4_train,1613311,48,0.640000111075937
CIC17,fold_4_val,403328,48,0.16000012694392807
CIC17,fold_5_train,1613312,48,0.6400005077757123
CIC17,fold_5_val,403327,48,0.15999973024415284
